Location,Year,Total Passengers
Dublin,2021,302283
Dublin,2021,262502
Dublin,2021,313186
Dublin,2021,301424
Dublin,2021,305350
Dublin,2021,279174
Dublin,2021,266874
Dublin,2021,308166
Dublin,2021,308644
Dublin,2021,310262
Dublin,2021,319985
Dublin,2021,306977
Dublin,2021,310783
Dublin,2021,309178
Dublin,2021,304214
Dublin,2021,300053
Dublin,2021,297205
Dublin,2021,281430
Dublin,2021,268744
Dublin,2021,327777
Dublin,2021,321796
Dublin,2021,202322
Dublin,2021,201673
Dublin,2021,148925
Dublin,2021,129279
Dublin,2022,184047
Dublin,2022,161546
Dublin,2022,225426
Dublin,2022,208488
Dublin,2022,241094
Dublin,2022,221737
Dublin,2022,274293
Dublin,2022,263636
Dublin,2022,293209
Dublin,2022,278664
Dublin,2022,298548
Dublin,2022,288350
Dublin,2022,295635
Dublin,2022,284200
Dublin,2022,302427
Dublin,2022,274866
Dublin,2022,319517
Dublin,2022,287557
Dublin,2022,316221
Dublin,2022,274731
Dublin,2022,314256
Dublin,2022,262354
Dublin,2022,310281
Dublin,2022,293111
Dublin,2022,337105
Dublin,2022,295716
Dublin,2022,333218
Dublin,2022,306988
Dublin,2022,345061
Dublin,2022,273971
Dublin,2022,340040
Dublin,2022,277480
Dublin,2022,326313
Dublin,2022,316675
Dublin,2022,336415
Dublin,2022,314112
Dublin,2022,367620
Dublin,2022,334083
Dublin,2022,364591
Dublin,2022,337459
Dublin,2022,400252
Dublin,2022,336203
Dublin,2022,414633
Dublin,2022,334333
Dublin,2022,351030
Dublin,2022,303546
Dublin,2022,403216
Dublin,2022,343542
Dublin,2022,425115
Dublin,2022,343832
Dublin,2022,401680
Dublin,2022,378283
Dublin,2022,402776
Dublin,2022,358745
Dublin,2022,384792
Dublin,2022,354813
Dublin,2022,386315
Dublin,2022,353269
Dublin,2022,381066
Dublin,2022,342392
Dublin,2022,370788
Dublin,2022,318620
Dublin,2022,385414
Dublin,2022,331511
Dublin,2022,394475
Dublin,2022,348259
Dublin,2022,407670
Dublin,2022,370436
Dublin,2022,394870
Dublin,2022,354471
Dublin,2022,441116
Dublin,2022,397912
Dublin,2022,464639
Dublin,2022,426215
Dublin,2022,468498
Dublin,2022,446831
Dublin,2022,495114
Dublin,2022,471656
Dublin,2022,499121
Dublin,2022,477762
Dublin,2022,490773
Dublin,2022,482540
Dublin,2022,507315
Dublin,2022,481150
Dublin,2022,527175
Dublin,2022,496932
Dublin,2022,472903
Dublin,2022,419627
Dublin,2022,530589
Dublin,2022,496715
Dublin,2022,535652
Dublin,2022,500427
Dublin,2022,535559
Dublin,2022,503755
Dublin,2022,547010
Dublin,2022,491713
Dublin,2022,537455
Dublin,2022,498173
Dublin,2022,526929
