"Statistic Label","Week","Luas Line","UNIT","VALUE"
"Passenger Journeys","2023 Week 28","Red line","Number","458273"
"Passenger Journeys","2023 Week 28","Green line","Number","396355"
"Passenger Journeys","2023 Week 29","Red line","Number","463673"
"Passenger Journeys","2023 Week 29","Green line","Number","403240"
"Passenger Journeys","2023 Week 30","Red line","Number","490187"
"Passenger Journeys","2023 Week 30","Green line","Number","408738"
"Passenger Journeys","2023 Week 31","Red line","Number","466708"
"Passenger Journeys","2023 Week 31","Green line","Number","340441"
"Passenger Journeys","2023 Week 32","Red line","Number","437277"
"Passenger Journeys","2023 Week 32","Green line","Number","336659"
"Passenger Journeys","2023 Week 33","Red line","Number","449135"
"Passenger Journeys","2023 Week 33","Green line","Number","381530"
"Passenger Journeys","2023 Week 34","Red line","Number","495211"
"Passenger Journeys","2023 Week 34","Green line","Number","405320"
"Passenger Journeys","2023 Week 35","Red line","Number","432251"
"Passenger Journeys","2023 Week 35","Green line","Number","411878"
"Passenger Journeys","2023 Week 36","Red line","Number","465836"
"Passenger Journeys","2023 Week 36","Green line","Number","432905"
"Passenger Journeys","2023 Week 37","Red line","Number","462007"
"Passenger Journeys","2023 Week 37","Green line","Number","445474"
"Passenger Journeys","2023 Week 38","Red line","Number","533098"
"Passenger Journeys","2023 Week 38","Green line","Number","498593"
"Passenger Journeys","2023 Week 39","Red line","Number","512536"
"Passenger Journeys","2023 Week 39","Green line","Number","500581"
"Passenger Journeys","2023 Week 40","Red line","Number","534463"
"Passenger Journeys","2023 Week 40","Green line","Number","515962"
"Passenger Journeys","2023 Week 41","Red line","Number","532162"
"Passenger Journeys","2023 Week 41","Green line","Number","513554"
"Passenger Journeys","2023 Week 42","Red line","Number","571365"
"Passenger Journeys","2023 Week 42","Green line","Number","514208"
"Passenger Journeys","2023 Week 43","Red line","Number","578178"
"Passenger Journeys","2023 Week 43","Green line","Number","528068"
"Passenger Journeys","2023 Week 44","Red line","Number","502054"
"Passenger Journeys","2023 Week 44","Green line","Number","447017"
